id	var.type	var.name	var.transf	VEXPALL	Vcorplot	ML_opt3	ML_UV
1	x	ph	0	1	0	0	0
1	x	DIC	2	1	0	1	0
2	x	DOC	2	1	0	1	0
3	x	NH4	9	1	0	1	0
4	x	SRP	2	1	0	0	0
5	x	TON	2	1	0	0	0
6	x	NO2	9	1	0	0	0
7	x	NO3	2	1	0	0	0
8	x	TN	9	1	0	0	0
9	x	DON	2	1	0	1	0
10	x	Cl	2	1	0	0	0
11	x	Br	1	1	0	1	0
12	x	temp	5	1	0	0	0
13	x	SEC	9	1	0	0	0
14	x	DO	4	1	0	0	0
15	x	DOP	0	1	0	0	0
19	x	Cl2dem	2	1	0	0	0
19	x	ClBr	1	1	0	0	0
20	x	CN	1	1	0	0	0
21	x	b	2	1	0	0	0
22	x	t	9	1	0	0	0
23	x	a	2	1	0	0	1
24	x	m	2	1	0	0	1
25	x	c	2	1	0	0	1
26	x	bix	6	1	0	0	0
27	x	fi	6	1	0	0	0
28	x	hix	7	1	0	1	1
29	x	a254	2	1	0	0	1
30	x	a300	2	1	0	0	0
31	x	E2	5	1	0	0	0
32	x	E4	2	1	0	0	0
33	x	S275	6	1	0	0	0
34	x	S350	9	1	0	0	0
35	x	S300	6	1	0	0	0
36	x	SR	3	1	0	0	0
37	x	T.Vlux	2	1	0	0	1
38	x	C.Vlux	7	1	0	0	1
39	x	comp.1	2	1	0	1	0
40	x	comp.2	5	1	0	1	0
41	x	comp.3	9	1	0	1	0
42	x	comp.4	5	1	0	0	0
43	x	comp.5	5	1	0	0	0
44	x	comp.6	5	1	0	0	0
51	x	suva	2	1	0	0	0
53	x	per.comp.1	9	1	0	0	0
54	x	per.comp.2	2	1	0	0	0
55	x	per.comp.3	9	1	0	1	0
56	x	per.comp.4	5	1	0	0	0
57	x	per.comp.5	3	1	0	0	0
58	x	per.comp.6	5	1	0	0	0
72	x	sum.123	2	1	0	0	0
71	x	sum.comp	2	1	0	0	0
79	y	TCM	2	1	0	1	1
80	y	BDCM	5	1	0	1	1
81	y	DBCM	3	1	0	1	1
82	y	TBM	3	1	0	1	1
83	y	THM4	2	1	0	1	1
84	y	TCAN	6	1	0	1	1
85	y	DCAN	3	1	0	1	1
86	y	BCAN	3	1	0	1	1
87	y	DBAN	3	1	0	1	1
88	y	HAN4	2	1	0	0	0
89	y	TCNM	3	1	0	1	1
90	y	DCP	3	1	0	1	1
91	y	TCP	3	1	0	1	1
92	y	HK2	NA	1	0	1	1
93	y	MCAA	NA	1	0	1	1
94	y	DCAA	NA	1	0	1	1
95	y	TCAA	NA	1	0	1	1
96	y	MBAA	NA	1	0	1	1
97	y	DBAA	NA	1	0	1	1
98	y	BCAA	NA	1	0	1	1
99	y	BDCAA	NA	1	0	1	1
100	y	DBCAA	NA	1	0	1	1
101	y	TBAA	NA	1	0	1	1
102	y	HAA5	NA	1	0	1	1
103	y	HAA9	NA	1	0	1	1
104	y	n.HAN4	2	1	0	0	0
105	y	n.HK2	2	1	0	0	0
106	y	bsf.THMs	2	1	0	0	0
107	y	bsf.HAA5	NA	1	0	0	0
108	y	bsf.HAA9	NA	1	0	0	0
109	y	bsf.HAN4	6	1	0	0	0
